id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
012250-99999,012250,99999,VEIHOLMEN,NO,NO,,,63.517,7.95,5.0,12,2009,1979,1743
012270-99999,012270,99999,TINGVOLL-HANEM,NO,NO,,,62.833,8.3,69.0,29,2008,1978,7203
012280-99999,012280,99999,SULA,NO,NO,,,63.85,8.467,6.0,34,2009,1973,11270
012310-99999,012310,99999,LESJASKOG,NO,NO,,,62.233,8.367,621.0,17,2008,1985,2619
012320-99999,012320,99999,VINJEORA II,NO,NO,,,63.2,9.0,47.0,6,1992,1979,9
012330-99999,012330,99999,DOMBAAS,NO,NO,,,62.083,9.117,638.0,4,2009,2006,960
012340-99999,012340,99999,ORKDAL THAMSHAMM,NO,NO,,,63.317,9.85,4.0,4,2009,2006,957
012350-99999,012350,99999,DOMBAS-KIRKENAER,NO,NO,,,62.083,9.133,645.0,4,1976,1973,1231
012360-99999,012360,99999,KJOREMSGRENDE,NO,NO,,,62.1,9.05,626.0,1,2007,2007,7
012380-99999,012380,99999,FOKSTUA II,NO,NO,,,62.117,9.283,974.0,37,2009,1973,11844
012400-99999,012400,99999,HALTEN FYR,NO,NO,,,64.167,9.4,16.0,25,2009,1985,5651
012410-99999,012410,99999,ORLAND III,NO,NO,,ENOL,63.7,9.6,7.0,37,2009,1973,13329
012420-99999,012420,99999,AFJORD,NO,NO,,,63.967,10.217,21.0,2,2009,2008,540
012450-99999,012450,99999,OPPDAL-SETER,NO,NO,,,62.6,9.667,606.0,17,2009,1986,3111
012520-99999,012520,99999,BERKAK-LYNGHOLT,NO,NO,,,62.817,10.017,475.0,33,2007,1973,6167
012530-99999,012530,99999,SOKNEDAL,NO,NO,,,62.95,10.183,299.0,1,2009,2009,120
012540-99999,012540,99999,KOTSOY,NO,NO,,,62.983,10.55,127.0,1,2009,2009,131
012570-99999,012570,99999,TRONDHEIM/VOLL,NO,NO,,,63.417,10.45,127.0,6,2009,2004,1787
012580-99999,012580,99999,TRONDHEIM (TYHOLT),NO,NO,,,63.417,10.433,113.0,2,1980,1978,2
012590-99999,012590,99999,BUHOLMRASA FYR,NO,NO,,,64.4,10.45,18.0,10,2009,1985,1707
012620-99999,012620,99999,NORDOYAN FYR,NO,NO,,,64.8,10.55,33.0,37,2009,1973,9108
012650-99999,012650,99999,TYNSET-HANSMOEN,NO,NO,,,62.267,10.733,484.0,17,2009,1973,4263
012710-99999,012710,99999,TRONDHEIM/VERNES,NO,NO,,ENVA,63.467,10.933,17.0,48,2009,1940,17127
012730-99999,012730,99999,SELBU,NO,NO,,,63.233,11.017,160.0,3,2009,2007,631
012740-99999,012740,99999,SELBU-STUBBE,NO,NO,,,63.2,11.117,242.0,22,2006,1973,3087
012770-99999,012770,99999,STEINKJER,NO,NO,,,64.016,11.45,80.0,12,2009,1978,1798
012780-99999,012780,99999,VERDAL-REPPE,NO,NO,,,63.783,11.683,83.0,19,2009,1985,4220
012800-99999,012800,99999,NAMDALSEID-VENGSTAD,NO,NO,,,64.132,11.333,118.0,26,2008,1980,2414
012810-99999,012810,99999,NAMSSKOGAN,NO,NO,,,64.717,12.833,140.0,3,2009,2007,910
012820-99999,012820,99999,RORVIK/RYUM,NO,NO,,ENRM,64.833,11.15,4.0,15,2009,1995,4609
012823-99999,012823,99999,RORVIK/RYUM,NO,NO,,,64.85,11.233,14.0,5,1995,1991,1411
012870-99999,012870,99999,SOLENDET,NO,NO,,,62.683,11.817,747.0,2,2009,2008,535
012880-99999,012880,99999,ROROS,NO,NO,,,62.567,11.383,630.0,37,2009,1973,11950
012890-99999,012890,99999,ROROS LUFTHAVN,NO,NO,,ENRO,62.583,11.35,626.0,22,2005,1984,6902
012891-99999,012891,99999,ROROS/AIRPORT,NO,NO,,ENRO,62.583,11.383,626.0,6,1984,1979,728
012900-99999,012900,99999,NAMSOS LUFTHAVN,NO,NO,,ENNM,64.467,11.583,2.0,32,2009,1974,8829
012910-99999,012910,99999,GARTLAND,NO,NO,,,64.533,12.383,95.0,1,2009,2009,131
012920-99999,012920,99999,MERAKER-UTSYN,NO,NO,,,63.417,11.7,240.0,12,2004,1986,412
012930-99999,012930,99999,MERAKER-EGGE,NO,NO,,,63.417,11.733,171.0,5,2009,2005,1586
012950-99999,012950,99999,HOYLANDET-DRAG.,NO,NO,,,64.55,12.15,27.0,10,2007,1980,1083
012980-99999,012980,99999,NORDLI-HOLAND,NO,NO,,,64.45,13.717,433.0,6,2007,1977,15
013000-99999,013000,99999,GULLFAKS C,NO,NO,,,61.2,2.267,78.0,9,2009,2001,2909
013005-99999,013005,99999,STATFJORD OIL RIG &,NO,NO,,ENSF,61.217,1.833,15.0,6,1989,1984,1740
013040-99999,013040,99999,YTTEROYANE FYR,NO,NO,,,61.567,4.683,25.0,25,2009,1985,7775
013060-99999,013060,99999,HELLISOY FYR,NO,NO,,,60.75,4.717,23.0,21,2004,1973,6675
013070-99999,013070,99999,FEDJE,NO,NO,,,60.75,4.717,20.0,5,2009,2005,1472
013090-99999,013090,99999,KINN ISLAND,NO,NO,,,61.567,4.8,10.0,16,1988,1973,4428
013100-99999,013100,99999,FLORO,NO,NO,,ENFL,61.583,5.033,9.0,29,2009,1981,9932
013110-99999,013110,99999,BERGEN/FLESLAND,NO,NO,,ENBR,60.283,5.233,50.0,37,2009,1973,13330
013160-99999,013160,99999,BERGEN-FREDRIKSBERG,NO,NO,,,60.4,5.317,40.0,5,1984,1979,11
013170-99999,013170,99999,BERGEN/FLORIDA,NO,NO,,,60.383,5.333,36.0,37,2009,1973,13196
